"scrape","categories","CL code","3taps default codes","3taps codes for parsing"
"&quot;1&quot;;&quot;community&quot;;&quot;ccc&quot;;NULL","community;ccc","ccc",,
"&quot;2&quot;;&quot;events&quot;;&quot;eee&quot;;NULL","events;eee","eee",,
"&quot;3&quot;;&quot;gigs&quot;;&quot;ggg&quot;;NULL","gigs;ggg","ggg",,
"&quot;4&quot;;&quot;housing&quot;;&quot;hhh&quot;;NULL","housing;hhh","hhh",,
"&quot;5&quot;;&quot;jobs&quot;;&quot;jjj&quot;;NULL","jobs;jjj","jjj",,
"&quot;6&quot;;&quot;personals&quot;;&quot;ppp&quot;;NULL","personals;ppp","ppp",,
"&quot;7&quot;;&quot;resumes&quot;;&quot;res&quot;;NULL","resumes;res","res","JWGE","JWGE - everything else in Job Resumes"
"&quot;8&quot;;&quot;for sale&quot;;&quot;sss&quot;;NULL","for sale;sss","sss",,
"&quot;9&quot;;&quot;services&quot;;&quot;bbb&quot;;NULL","services;bbb","bbb",,
"&quot;10&quot;;&quot;activities&quot;;&quot;act&quot;;&quot;1&quot;","activities;act;community","act","OACT","OACT"
"&quot;11&quot;;&quot;artists&quot;;&quot;ats&quot;;&quot;1&quot;","artists;ats;community","ats","SART","SART"
"&quot;12&quot;;&quot;childcare&quot;;&quot;kid&quot;;&quot;1&quot;","childcare;kid;community","kid","SCHI","SCHI"
"&quot;13&quot;;&quot;general&quot;;&quot;com&quot;;&quot;1&quot;","general;com;community","com","EVNT","EVNT"
"&quot;14&quot;;&quot;groups&quot;;&quot;grp&quot;;&quot;1&quot;","groups;grp;community","grp","EVNT","EVNT"
"&quot;15&quot;;&quot;pets&quot;;&quot;pet&quot;;&quot;1&quot;","pets;pet;community","pet","LFFP","LFFP - LFLP"
"&quot;16&quot;;&quot;events&quot;;&quot;cal&quot;;&quot;1&quot;","events;cal;community","cal","EVNT","EVNT"
"&quot;17&quot;;&quot;lost+found&quot;;&quot;laf&quot;;&quot;1&quot;","lost+found;laf;community","laf","LFLO","LFFO - LFLO"
"&quot;18&quot;;&quot;musicians&quot;;&quot;muc&quot;;&quot;1&quot;","musicians;muc;community","muc","SMUS","SMUS"
"&quot;19&quot;;&quot;localÌâ news&quot;;&quot;vnn&quot;;&quot;1&quot;","localÌâ news;vnn;community","vnn","DISC","DISC"
"&quot;20&quot;;&quot;politics&quot;;&quot;pol&quot;;&quot;1&quot;","politics;pol;community","pol","DISC","DISC"
"&quot;21&quot;;&quot;rideshare&quot;;&quot;rid&quot;;&quot;1&quot;","rideshare;rid;community","rid","ORID","ORID"
"&quot;22&quot;;&quot;volunteers&quot;;&quot;vol&quot;;&quot;1&quot;","volunteers;vol;community","vol","JAVO","JAVO"
"&quot;23&quot;;&quot;classes&quot;;&quot;cal&quot;;&quot;1&quot;","classes;cal;community","cal","EDCL","EDCL"
"&quot;24&quot;;&quot;strictly platonic&quot;;&quot;stp&quot;;&quot;6&quot;","strictly platonic;stp;personals","stp","PLWW - PLAW - PLAT - PLAM - PLAC","PLWW - PLAW - PLAT - PLAM - PLAC"
"&quot;25&quot;;&quot;women seek women&quot;;&quot;w4w&quot;;&quot;6&quot;","women seek women;w4w;personals","w4w","RWSW","RWSW"
"&quot;26&quot;;&quot;women seeking men&quot;;&quot;w4m&quot;;&quot;6&quot;","women seeking men;w4m;personals","w4m","RWSM","RWSM"
