"ALASKA ","AK ","HI","WA","OR","ID",,,,
"ALABAMA ","AL ","MS","GA","FL","TN",,,,
"ARKANSAS ","AR ","MO","KS","OK","TX","LA","MS","TN",
"ARIZONA ","AZ ","NV","CA","NM","UT","CO",,,
"CALIFORNIA ","CA ","OR","NV","AZ",,,,,
"COLORADO ","CO ","WY","UT","AZ","NM","OK","KS","NE",
"CONNECTICUT ","CT ","NY","RI","MA","NJ",,,,
"DELAWARE ","DE ","MD","NJ","PA",,,,,
"DISTRICT OF COLUMBIA ","DC ","MD","VA",,,,,,
"FLORIDA ","FL ","GA","AL",,,,,,
"GEORGIA ","GA ","FL","AL","SC","TN","NC",,,
"HAWAII ","HI ","AK","WA","OR","CA",,,,
"IOWA ","IA ","MN","WI","IL","MO","NE","SD",,
"IDAHO ","ID ","WA","OR","NV","UT","WY","MT",,
"ILLINOIS ","IL ","WI","IA","MO","IN","KY","MI",,
"INDIANA ","IN ","IL","MI","OH","KY",,,,
"KANSAS ","KS ","NE","CO","OK","MO",,,,
"KENTUCKY ","KY ","IL","IN","OH","WV","VA","TN","MO",
"LOUISIANA ","LA ","AR","TX","MS",,,,,
"MASSACHUSETTS ","MA ","NH","VT","CT","RI","NY",,,
"MARYLAND ","MD ","DE","PA","VA","WV","DC",,,
"MAINE ","ME ","NH","VT","MA",,,,,
"MICHIGAN ","MI ","IN","OH","WI","IL",,,,
"MINNESOTA ","MN ","ND","SD","IA","WI",,,,
"MISSOURI ","MO ","IA","NE","KS","OK","AR","TN","KY","IL"
"MISSISSIPPI ","MS ","TN","AR","LA","AL",,,,
"MONTANA ","MT ","ID","WY","SD","ND",,,,
"NORTH CAROLINA ","NC","VA","TN","GA","SC",,,,
"NORTH DAKOTA ","ND","MT","SD","MN",,,,,
"NEBRASKA ","NE","SD","WY","CO","KS","MO","IA",,
"NEW HAMPSHIRE ","NH","ME","VT","MA",,,,,
"NEW JERSEY ","NJ","OA","DE","NY","CT",,,,
"NEW MEXICO ","NM","UT","CO","AZ","TX","OK",,,
"NEVADA ","NV","OR","CA","ID","UT","AZ",,,
"NEW YORK ","NY","VT","MA","CT","NJ","PA",,,
"OHIO ","OH","MI","IN","KY","WV","PA",,,
"OKLAHOMA ","OK","KS","CO","NM","TX","AR","MO",,
"OREGON ","OR","WA","CA","NV","ID",,,,
"PENNSYLVANIA ","PA","NY","NJ","DE","MD","WV","OH",,
"RHODE ISLAND ","RI","CT","MA",,,,,,
"SOUTH CAROLINA ","SC","NC","GA",,,,,,
"SOUTH DAKOTA ","SD","ND","MT","WY","NE","IA","MN",,
"TENNESSEE ","TN","KY","MO","AR","MS","AL","GA","NC","VA"
"TEXAS ","TX","OK","NM","AR","LA",,,,
"UTAH ","UT","ID","NV","AZ","NM","CO","WY",,
"VIRGINIA ","VA","MD","WV","KY","TN","NC","DC",,
"VERMONT ","VT","NH","MA","NY",,,,,
"WASHINGTON ","WA","OR","ID",,,,,,
"WISCONSIN ","WI","MN","IA","IL","MI",,,,
"WEST VIRGINIA ","WV","PA","MD","VA","KY","OH",,,
"WYOMING ","WY","MT","ID","UT","CO","NE","SD",,
