"original_category","original_cat","original_subcategory","original_subcat","original_subcategory_2","original_subcat_2"
"community","ccc","activities","act",,
"community","ccc","artists","ats",,
"community","ccc","childcare","kid",,
"community","ccc","classes","cal",,
"community","ccc","events","eve",,
"community","ccc","general","com",,
"community","ccc","groups","grp",,
"community","ccc","local news","vnn",,
"community","ccc","lost+found","laf",,
"community","ccc","musicians","muc",,
"community","ccc","pets","pet",,
"community","ccc","politics","pol",,
"community","ccc","rideshare","rid",,
"community","ccc","volunteers","vol",,
"for sale","sss","antiques","atq",,
"for sale","sss","appliances","app",,
"for sale","sss","arts+crafts","art",,
"for sale","sss","auto parts","pts",,
"for sale","sss","baby+kids","bab",,
"for sale","sss","barter","bar",,
"for sale","sss","beauty+hlth","hab",,
"for sale","sss","bikes","bik",,
"for sale","sss","boats","boa",,
"for sale","sss","books","bks",,
"for sale","sss","business","bfs",,
"for sale","sss","cars+trucks","cta",,
"for sale","sss","cars+trucks","cta","cars+trucks - by dealer","ctd"
"for sale","sss","cars+trucks","cta","cars+trucks - by owner","cto"
"for sale","sss","cds/dvd/vhs","emd",,
"for sale","sss","cell phones","mob",,
"for sale","sss","clothes+acc","clo",,
"for sale","sss","collectibles","clt",,
"for sale","sss","computer","sys",,
"for sale","sss","electronics","ele",,
"for sale","sss","farm+garden","grd",,
"for sale","sss","free","zip",,
"for sale","sss","furniture","fua",,
"for sale","sss","furniture","fua","furniture - by dealer","fud"
"for sale","sss","furniture","fua","furniture - by owner","fuo"
"for sale","sss","garage sale","gms",,
"for sale","sss","general","for",,
"for sale","sss","household","hsh",,
"for sale","sss","jewelry","jwl",,
"for sale","sss","materials","mat",,
"for sale","sss","motorcycles","mca",,
"for sale","sss","motorcycles","mca","motorcycles - by dealer","mcd"
"for sale","sss","motorcycles","mca","motorcycles - by owner","mcy"
"for sale","sss","music instr","msg",,
"for sale","sss","photo+video","pho",,
"for sale","sss","rvs","rvs",,
"for sale","sss","sporting","spo",,
"for sale","sss","tickets","tia",,
"for sale","sss","tickets","tia","tickets - by dealer","tid"
"for sale","sss","tickets","tia","tickets - by owner","tix"
"for sale","sss","tools","tls",,
"for sale","sss","toys+games","tag",,
"for sale","sss","video gaming","vgm",,
"for sale","sss","wanted","wan",,
"gigs","ggg","computer","cpg",,
"gigs","ggg","creative","crg",,
"gigs","ggg","crew","cwg",,
"gigs","ggg","domestic","dmg",,
"gigs","ggg","event","evg",,
"gigs","ggg","labor","lbg",,
"gigs","ggg","talent","tlg",,
"gigs","ggg","writing","wrg",,
"housing","hhh","apts / housing","apa",,
"housing","hhh","housing swap","swp",,
"housing","hhh","housing wanted","hsw",,
"housing","hhh","office / commercial","off",,
"housing","hhh","parking / storage","prk",,
"housing","hhh","real estate for sale","rea",,
"housing","hhh","rooms / shared","roo",,
"housing","hhh","sublets / temporary","sub",,
"housing","hhh","vacation rentals","vac",,
"jobs","jjj","accounting+finance","acc",,
"jobs","jjj","admin / office","ofc",,
"jobs","jjj","arch / engineering","egr",,
"jobs","jjj","art / media / design","med",,
"jobs","jjj","biotech / science","sci",,
"jobs","jjj","business / mgmt","bus",,
"jobs","jjj","customer service","csr",,
"jobs","jjj","education","edu",,
"jobs","jjj","food / bev / hosp","fbh",,
"jobs","jjj","general labor","lab",,
"jobs","jjj","government","gov",,
"jobs","jjj","human resources","hum",,
"jobs","jjj","internet engineers","eng",,
"jobs","jjj","legal / paralegal","lgl",,
"jobs","jjj","manufacturing","mnu",,
"jobs","jjj","marketing / pr / ad","mar",,
"jobs","jjj","medical / health","hea",,
"jobs","jjj","network/WAN/telcom jobs","tel",,
"jobs","jjj","nonprofit sector","npo",,
"jobs","jjj","real estate","rej",,
"jobs","jjj","retail / wholesale","ret",,
"jobs","jjj","sales / biz dev","sls",,
"jobs","jjj","salon / spa / fitness","spa",,
"jobs","jjj","security","sec",,
"jobs","jjj","skilled trade / craft","trd",,
"jobs","jjj","software / qa / dba","sof",,
"jobs","jjj","systems / network","sad",,
"jobs","jjj","technical support","tch",,
"jobs","jjj","transport","trp",,
"jobs","jjj","tv / film / video","tfr",,
"jobs","jjj","web / info design","web",,
"jobs","jjj","writing / editing","wri",,
"jobs","jjj","[ETC]","etc    ",,
"personals","ppp","casual encounters","cas",,
"personals","ppp","men seeking men","m4m",,
"personals","ppp","men seeking women","m4w",,
"personals","ppp","misc romance","msr",,
"personals","ppp","missed connections","mis",,
"personals","ppp","rants and raves","rnr",,
"personals","ppp","strictly platonic","stp",,
"personals","ppp","women seek women","w4w",,
"personals","ppp","women seeking men","w4m",,
"resumes","res",,,,
"services","bbb","automotive","aos",,
"services","bbb","beauty","bts",,
"services","bbb","computer","cps",,
"services","bbb","creative","crs",,
"services","bbb","cycle","cys",,
"services","bbb","event","evs",,
"services","bbb","farm+garden","fgs",,
"services","bbb","financial","fns",,
"services","bbb","household","hss",,
"services","bbb","labor/move","lbs",,
"services","bbb","legal","lgs",,
"services","bbb","lessons","lss",,
"services","bbb","marine","mas",,
"services","bbb","pet","pas",,
"services","bbb","real estate","rts",,
"services","bbb","skill'd trade","sks",,
"services","bbb","sm biz ads","biz",,
"services","bbb","therapeutic","thp",,
"services","bbb","travel/vac","trv",,
"services","bbb","write/ed/tr8","wet",,
