"original_continent","original_state","original_st","original_location_1","original_loc_1","original_location_2","original_loc_2"
"Canada","alberta","AB","calgary","calgary",,
"Canada","alberta","AB","edmonton","edmonton",,
"Canada","alberta","AB","ft mcmurray","ftmcmurrary",,
"Canada","alberta","AB","lethbridge","lethbridge",,
"Canada","alberta","AB","medicine hat","medicinehat",,
"Canada","alberta","AB","peace river country","peacerivercountry",,
"Canada","alberta","AB","red deer","reddeer",,
"Canada","british columbia","BC","cariboo","cariboo",,
"Canada","british columbia","BC","comox valley","comoxvalley",,
"Canada","british columbia","BC","fraser valley","fraservalley",,
"Canada","british columbia","BC","kamloops","kamloops",,
"Canada","british columbia","BC","kelowna / okanagan","kelowna",,
"Canada","british columbia","BC","kootenays","kootenays",,
"Canada","british columbia","BC","nanaimo","nanaimo",,
"Canada","british columbia","BC","prince george","princegeorge",,
"Canada","british columbia","BC","skeena-bulkley","skeena",,
"Canada","british columbia","BC","sunshine coast","sunshinecoast",,
"Canada","british columbia","BC","vancouver","vancouver",,
"Canada","british columbia","BC","victoria","victoria",,
"Canada","british columbia","BC","whistler","whistler",,
"Canada","manitoba","MB","winnipeg","winnipeg",,
"Canada","new brunswick","NB","new brunswick","newbrunswick",,
"Canada","newfoundland and labrador","NL","st johns","newfoundland",,
"Canada","northwest territories","NT","territories","territories",,
"Canada","northwest territories","NT","yellowknife","yellowknife",,
"Canada","nova scotia","NS","halifax","halifax",,
"Canada","ontario","ON","barrie","barrie",,
"Canada","ontario","ON","belleville","belleville",,
"Canada","ontario","ON","brantford-woodstock","brantford",,
"Canada","ontario","ON","chatham-kent","chatham",,
"Canada","ontario","ON","cornwall","cornwall",,
"Canada","ontario","ON","guelph","guelph",,
"Canada","ontario","ON","hamilton-burlington","hamilton",,
"Canada","ontario","ON","kingston","kingston",,
"Canada","ontario","ON","kitchener-waterloo-cambridge","kitchener",,
"Canada","ontario","ON","london","london",,
"Canada","ontario","ON","niagara region","niagara region",,
"Canada","ontario","ON","ottawa-hull-gatineau","ottawa",,
"Canada","ontario","ON","owen sound","owen sound",,
