original_continent,original_state,original_st,original_location_1,original_loc_1,original_location_2,original_loc_2,Geolocation Code
Canada,alberta,AB,calgary,calgary,,,CAN-YYG
Canada,alberta,AB,edmonton,edmonton,,,CAN-YEG
Canada,alberta,AB,ft mcmurray,ftmcmurrary,,,CAN-YMM
Canada,alberta,AB,lethbridge,lethbridge,,,CAN-LET
Canada,alberta,AB,medicine hat,medicinehat,,,CAN-MED
Canada,alberta,AB,peace river country,peacerivercountry,,,CAN-YQU
Canada,alberta,AB,red deer,reddeer,,,CAN-RED
Canada,british columbia,BC,cariboo,cariboo,,,CAN-CAR
Canada,british columbia,BC,comox valley,comoxvalley,,,CAN-YQQ
Canada,british columbia,BC,fraser valley,fraservalley,,,CAN-FRA
Canada,british columbia,BC,kamloops,kamloops,,,CAN-YKA
Canada,british columbia,BC,kelowna / okanagan,kelowna,,,CAN-YLW
Canada,british columbia,BC,kootenays,kootenays,,,CAN-KOO
Canada,british columbia,BC,nanaimo,nanaimo,,,CAN-NAN
Canada,british columbia,BC,prince george,princegeorge,,,CAN-YXS
Canada,british columbia,BC,skeena-bulkley,skeena,,,CAN-SKE
Canada,british columbia,BC,sunshine coast,sunshinecoast,,,CAN-SUN
Canada,british columbia,BC,vancouver,vancouver,,,CAN-YVR
Canada,british columbia,BC,victoria,victoria,,,CAN-YYJ
Canada,british columbia,BC,whistler,whistler,,,CAN-WHI
Canada,manitoba,MB,winnipeg,winnipeg,,,CAN-YWG
Canada,new brunswick,NB,new brunswick,newbrunswick,,,CAN-NB
Canada,newfoundland and labrador,NL,st johns,newfoundland,,,CAN-YYT
Canada,northwest territories,NT,territories,territories,,,CAN-TER
Canada,northwest territories,NT,yellowknife,yellowknife,,,CAN-YZF
Canada,nova scotia,NS,halifax,halifax,,,CAN-YHZ
Canada,ontario,ON,barrie,barrie,,,CAN-BAR
Canada,ontario,ON,belleville,belleville,,,CAN-BEL
Canada,ontario,ON,brantford-woodstock,brantford,,,CAN-BRA
Canada,ontario,ON,chatham-kent,chatham,,,CAN-CHA
Canada,ontario,ON,cornwall,cornwall,,,CAN-COR
Canada,ontario,ON,guelph,guelph,,,CAN-GUE
Canada,ontario,ON,hamilton-burlington,hamilton,,,CAN-YHM
Canada,ontario,ON,kingston,kingston,,,CAN-YGK
Canada,ontario,ON,kitchener-waterloo-cambridge,kitchener,,,CAN-YKF
Canada,ontario,ON,london,london,,,CAN-YXU
Canada,ontario,ON,niagara region,niagara region,,,CAN-NIA
Canada,ontario,ON,ottawa-hull-gatineau,ottawa,,,CAN-YOW
Canada,ontario,ON,owen sound,owen sound,,,CAN-OWE
Canada,ontario,ON,peterborough,peterborough,,,CAN-PET
Canada,ontario,ON,sarnia,sarnia,,,CAN-SAR
Canada,ontario,ON,sault ste marie,sault ste marie,,,CAN-SAU
Canada,ontario,ON,sudbury,sudbury,,,CAN-SUD
Canada,ontario,ON,thunder bay,thunder bay,,,CAN-YQT
Canada,ontario,ON,toronto,toronto,,,CAN-YYZ
Canada,ontario,ON,windsor,windsor,,,CAN-YQG
Canada,prince edward island,PE,prince edward island,pei,,,CAN-PE
Canada,quebec,QC,montreal,montreal,,,CAN-YUL
Canada,quebec,QC,quebec city,quebeccity,,,CAN-YQB
Canada,quebec,QC,saguenay,saguenay,,,CAN-SAG
Canada,quebec,QC,sherbrooke,sherbrooke,,,CAN-SHE
